Name,Is E2EE,Is E2EE by default,Can E2EE be enabled,Can E2EE be disabled,Is E2EE Reference,E2EE Protocol,Is Official Client OSS,Is Server OSS,Organization,Million users,Official Site,Wikipedia Page,Repos,Official client source code,Server source code
Nextcloud Talk,No,,,,,,Yes,Yes,Nextcloud GmbH,,https://nextcloud.com/talk/,,https://github.com/nextcloud,https://github.com/nextcloud/talk-android,https://github.com/nextcloud/spreed
Google Hangouts,No,,,,https://support.google.com/hangouts/answer/6191867,,No,No,Google,,https://hangouts.google.com/,https://en.wikipedia.org/wiki/Google_Hangouts,,,
Google Meet,No,,,,https://support.google.com/a/answer/7582940?hl=en,,No,No,Google,,https://meet.google.com/,https://en.wikipedia.org/wiki/Google_Hangouts#Google_Meet,,,
Google Duo,Yes,Yes,,,https://support.google.com/duo/answer/9280240?hl=en,,No,No,Yes,,https://duo.google.com/,https://en.wikipedia.org/wiki/Google_Duo,,,
Gmail,No,,,,,,No,No,Google,,https://gmail.com/,https://en.wikipedia.org/wiki/Gmail,,,
Skype ,No,,Yes,Yes,https://support.skype.com/en/faq/FA31/does-skype-use-encryption,Double Ratchet Algorithm,No,No,Microsoft ,300,https://www.skype.com/,https://en.wikipedia.org/wiki/Skype,,,
Microsoft Teams,No,,,,,,No,No,Microsoft,,https://www.microsoft.com/en-us/microsoft-365/microsoft-teams/online-meeting-solutions,https://en.wikipedia.org/wiki/Microsoft_Teams,,,
Webex,No,No,Yes,Yes,,,No,No,Cisco,,https://www.webex.com/,https://en.wikipedia.org/wiki/WebEx,,,
Facebook Messenger ,No,,Yes,Yes,,,No,No,Facebook ,900,https://www.messenger.com/,https://en.wikipedia.org/wiki/Facebook_Messenger,,,
iMessage ,Yes,Yes,,,,,No,No,Apple Inc. ,140,http://support.apple.com/explore/messages,https://en.wikipedia.org/wiki/IMessage,,,
FaceTime ,Yes,Yes,,,,,No,No,Apple Inc. ,,https://www.apple.com/ios/facetime,https://en.wikipedia.org/wiki/FaceTime,,,
Kik Messenger ,No,,,,,,No,No,Kik Interactive ,300,https://kik.com/,https://en.wikipedia.org/wiki/Kik_Messenger,,,
Line ,Yes,Yes,,,https://web.archive.org/web/20161002044533/http://developers.linecorp.com/blog/?p=3938,,No,No,Naver Corporation ,217,https://line.me/en/,https://en.wikipedia.org/wiki/Line_(software),,,
Whereby,No,,,,,,No,No,Whereby,,https://whereby.com/,,,,
Snapchat ,No,,,,,,No,No,Snap Inc. ,301,https://www.snapchat.com/,https://en.wikipedia.org/wiki/Snapchat,,,
Tencent QQ ,No,,,,,,No,No,Tencent Holdings Limited ,823,https://www.qq.com/,https://en.wikipedia.org/wiki/Tencent_QQ,,,
Viber ,No,,Yes,,https://en.wikipedia.org/wiki/Viber#Security,Double Ratchet Algorithm,No,No,Rakuten ,260,https://www.viber.com/en/,https://en.wikipedia.org/wiki/Viber,,,
WeChat ,No,,,,,,No,No,Tencent Holdings Limited ,1132,https://www.wechat.com/,https://en.wikipedia.org/wiki/WeChat,,,
ShareChat ,No,,,,,,No,No,Mohalla Tech Private Limited ,60,https://sharechat.com/,https://en.wikipedia.org/wiki/ShareChat,,,
eBuddy XMS ,No,,,,,,No,No,eBuddy ,250,https://www.ebuddyxms.com/,https://en.wikipedia.org/wiki/EBuddy,,,
Dust,Yes,Yes,,,,,No,No,Dust,,https://usedust.com/,,,,
Zulip,No,,,,https://zulipchat.com/security/,,Yes,Yes,Dropbox,,https://zulipchat.com/,https://en.wikipedia.org/wiki/Zulip,https://github.com/zulip/zulip,,
Amazon Chime,No,,,,https://aws.amazon.com/blogs/business-productivity/understanding-security-in-the-amazon-chime-application-and-sdk/,,No,No,Amazon,,https://aws.amazon.com/chime/,,,,
